transaction_id,user_id,gas_station_id,liters
0,7392,35,72
1,4522,15,86
2,7127,23,84
3,5600,21,70
4,7665,44,69
5,1595,39,68
6,4715,33,102
7,122,35,85
8,716,48,35
9,7059,7,55
10,1047,46,49
11,5733,43,94
12,5288,32,49
13,4069,6,90
14,2796,23,60
15,5101,41,42
16,9924,49,55
17,1186,10,89
18,2260,43,78
19,1356,1,72
20,5022,35,59
21,9945,9,59
22,1568,13,87
23,2733,24,66
24,8062,28,69
25,3657,24,65
26,3332,2,81
27,1268,14,78
28,7121,44,61
29,1422,30,117
30,4953,44,32
31,3808,22,100
32,6067,36,68
33,2552,29,90
34,1080,35,104
35,2808,8,81
36,2526,38,32
37,6244,19,77
38,3227,47,72
39,222,13,91
40,5801,47,93
41,6389,46,77
42,5285,21,83
43,2663,16,54
44,9516,37,32
45,935,6,48
46,9445,21,70
47,1520,7,32
48,2880,47,106
49,2196,31,99
50,1825,49,74
51,5175,3,54
52,7754,46,64
53,8199,18,95
54,3901,14,45
55,3549,38,62
56,4248,43,70
57,8901,46,71
58,550,38,61
59,2558,49,57
60,7140,46,87
61,1769,31,51
62,2228,4,77
63,5552,3,46
64,2842,26,65
65,4592,30,114
66,3581,8,70
67,8165,46,65
68,8329,11,49
69,5761,13,34
70,508,28,72
71,5534,13,97
72,8452,38,81
73,5420,6,67
74,7894,12,60
75,172,44,64
76,9413,29,35
77,3646,12,73
78,8255,10,74
79,7179,12,34
80,2912,14,90
81,3939,40,63
82,1060,41,71
83,7867,4,76
84,9467,44,76
85,8901,44,102
86,1796,38,56
87,8464,5,67
88,3122,29,81
89,1711,15,711
90,37,21,83
91,9744,48,60
92,6741,8,78
93,8107,6,32
94,3698,44,86
95,7357,25,91
96,8117,25,81
97,5088,3,85
98,1273,9,61
99,7449,46,60
100,3392,18,76
101,1106,23,61
102,5602,33,67
103,220,18,56
104,5828,17,29
105,6686,0,66
106,2118,25,97
107,5050,31,71
108,34,15,32
109,6187,0,69
110,9568,37,84
111,4869,10,79
112,2976,16,77
113,2386,30,89
114,4830,10,81
115,3529,11,66
116,1483,48,93
117,3800,14,30
118,8860,33,62
119,4662,20,43
120,4057,37,68
121,5419,49,93
122,4316,33,88
123,5788,22,74
124,8038,32,59
125,8659,11,31
126,479,24,123
127,4159,48,62
128,7350,46,89
129,2919,37,74
130,3448,49,68
131,6373,22,73
132,4770,40,83
133,2942,2,57
134,4565,45,63
135,1638,23,74
136,7580,19,71
137,3160,28,62
138,5333,35,84
139,7012,45,50
140,2740,14,50
141,5633,35,68
142,9659,30,60
143,859,26,67
144,4798,3,69
145,9158,24,631
146,7488,8,90
147,7793,7,61
148,7923,42,37
149,2357,44,77
150,1249,13,78
151,2768,48,95
152,4128,33,94
153,8028,30,85
154,237,48,87
155,3772,31,92
156,3305,31,62
157,4282,13,62
158,9268,44,30
159,3611,21,58
160,1566,46,60
161,4196,30,95
162,9341,5,65
163,6313,38,39
164,3864,13,597
165,1624,17,49
166,3498,3,80
167,6951,34,53
168,8960,8,83
169,7197,25,71
170,4346,17,62
171,2707,34,38
172,6651,2,109
173,9543,17,85
174,6878,44,78
175,8096,25,84
176,9188,36,83
177,4275,18,70
178,2682,49,91
179,218,10,48
180,857,24,54
181,5834,31,74
182,3139,23,86
183,8267,44,110
184,4922,14,75
185,7409,35,62
186,7448,7,88
187,2928,49,106
188,2626,13,37
189,6319,22,59
190,7136,35,81
191,269,30,72
192,906,10,78
193,1245,14,40
194,5019,14,61
195,7640,7,873
